"ID","RECORDTYPEID","BUTTON_NAME_VOD__C","ENDING_STATUS_VOD__C","EXTERNAL_ID_VOD__C","APPROVER_ROLE_VOD__C","ENTRY_CRITERIA_NOT_MET_MESSAGE_VOD__C","SFDC_ACTION_TYPE_VOD__C","EVENT_CONFIGURATION_VOD__C","ERROR","STATUS"
"a4Y3E0000001h07UAA","012d0000000XPG4AAO","Reschedule_vod","Pre-Event","Pre-Eventa4b3E00000001J3QAIReschedule_vod","","","","a4b3E00000001J3QAI","duplicate value found: External_ID_vod__c duplicates value on record with id: a4Y3E0000001gzs","Item Created"
"a4Y3E0000001h08UAA","012d0000000XPG4AAO","Unlock_vod","Post-Event","Post-Eventa4b3E00000001J3QAIUnlock_vod","","","","a4b3E00000001J3QAI","duplicate value found: External_ID_vod__c duplicates value on record with id: a4Y3E0000001gzt","Item Created"
"a4Y3E0000001h09UAA","012d0000000XPG4AAO","Recall_Approval_Request_vod","SFDC","SFDCa4b3E00000001J3QAIRecall_Approval_Request_vod","","","Recall_Approval_Request_vod","a4b3E00000001J3QAI","duplicate value found: External_ID_vod__c duplicates value on record with id: a4Y3E0000001gzy","Item Created"
"a4Y3E0000001h0AUAQ","012d0000000XPG4AAO","Reject_SFDC","SFDC","SFDCa4b3E00000001J3QAIReject_SFDC","","","Reject_vod","a4b3E00000001J3QAI","duplicate value found: External_ID_vod__c duplicates value on record with id: a4Y3E0000001gzy","Item Created"
"a4Y3E0000001h0BUAQ","012d0000000XPG4AAO","Approve_SFDC","SFDC","SFDCa4b3E00000001J3QAIApprove_SFDC","","","Approve_vod","a4b3E00000001J3QAI","duplicate value found: External_ID_vod__c duplicates value on record with id: a4Y3E0000001gzy","Item Created"
