"ID","RECORDTYPEID","BUTTON_NAME_VOD__C","ENDING_STATUS_VOD__C","EXTERNAL_ID_VOD__C","APPROVER_ROLE_VOD__C","ENTRY_CRITERIA_NOT_MET_MESSAGE_VOD__C","SFDC_ACTION_TYPE_VOD__C","EVENT_CONFIGURATION_VOD__C","STATUS"
"a4Y3E0000001h02UAA","012d0000000XPG4AAO","Replan_BMS","Pre-Event","Pre-Eventa4b3E00000001J3QAI","","","","a4b3E00000001J3QAI","Item Created"
"a4Y3E0000001h03UAA","012d0000000XPG4AAO","PostEvent","Post-Event","Post-Eventa4b3E00000001J3QAI","","","","a4b3E00000001J3QAI","Item Created"
"a4Y3E0000001h04UAA","012d0000000XPG4AAO","Close_vod","Closed_vod","Closed_voda4b3E00000001J3QAI","","","","a4b3E00000001J3QAI","Item Created"
"a4Y3E0000001h05UAA","012d0000000XPG4AAO","Cancel_Event_vod","Canceled_vod","Canceled_voda4b3E00000001J3QAI","","","","a4b3E00000001J3QAI","Item Created"
"a4Y3E0000001h06UAA","012d0000000XPG4AAO","Submit_for_SFDC_Approval","SFDC","SFDCa4b3E00000001J3QAI","Approver_vod","BMS_EM_APPROVAL_CRITERIA_MESSAGE;;EVENT_MANAGEMENT_BMS","Submit_Manual_vod","a4b3E00000001J3QAI","Item Created"
