"ID","SOURCEPARENTID","PARENTID","SOBJECTTYPE","PERMISSIONSCREATE","PERMISSIONSREAD","PERMISSIONSEDIT","PERMISSIONSDELETE","PERMISSIONSVIEWALLRECORDS","PERMISSIONSMODIFYALLRECORDS","ERROR"
"1103E000000IPzIQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Company_Code__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Permission Read All Contract_Party_Company_Code__c depends on permission(s): Read All EM_Vendor_vod__c; Permission Read All Contract_Party_Company_Code__c depends on permission(s): Read EM_Vendor_vod__c; Permission Read Contract_Party_Company_Code__c depends on permission(s): Read EM_Vendor_vod__c"
"1103E000000IPzNQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Purchase_Org_HCPTS__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Permission Read All Contract_Party_Purchase_Org_HCPTS__c depends on permission(s): Read All EM_Vendor_vod__c; Permission Read All Contract_Party_Purchase_Org_HCPTS__c depends on permission(s): Read EM_Vendor_vod__c; Permission Read Contract_Party_Purchase_Org_HCPTS__c depends on permission(s): Read EM_Vendor_vod__c"
"1103E000000IPzDQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Permission Read SAP_Expense_Line_HCPTS__c depends on permission(s): Read Expense_Header_vod__c; Permission Read SAP_Expense_Line_HCPTS__c depends on permission(s): Read Expense_Line_vod__c"
"1103E000000IUmPQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Rule_Definition_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Permission Read Rule_Definition_vod__c depends on permission(s): Read Rule_Object_Header_vod__c"
"1103E000000IUoeQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Team_Member_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Permission Create EM_Event_Team_Member_vod__c depends on permission(s): Read EM_Event_vod__c; Permission Delete EM_Event_Team_Member_vod__c depends on permission(s): Read EM_Event_vod__c; Permission Edit EM_Event_Team_Member_vod__c depends on permission(s): Read EM_Event_vod__c; Permission Read EM_Event_Team_Member_vod__c depends on permission(s): Read EM_Event_vod__c"
