"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","COUNTRY_VOD__C","EVENT_CONFIGURATION_VOD__C","EXTERNAL_ID_VOD__C","COUNTRY_FORMULA_HCPTS__C"
"a4a3E00000002jHQAQ","00558000001PGYZAA4","false","ECC -0000000012","012d0000000XPG6AAO","2017-02-11T20:52:11.000Z","00558000001PGYZAA4","2017-02-11T20:52:34.000Z","00558000001PGYZAA4","2017-02-18T11:38:27.000Z","true","false","a4U3E0000000LOtUAM","a4b3E00000001J3QAI","EC -0000000011-GB","GB"
"a4a3E00000002l6QAA","00558000001PGYZAA4","false","ECC -0000000014","012d0000000XPG6AAO","2017-02-14T19:29:42.000Z","00558000001PGYZAA4","2017-02-14T19:29:52.000Z","00558000001PGYZAA4","2017-02-22T11:37:38.000Z","true","false","a4U3E0000000LMsUAM","a4b3E00000001J3QAI","ECC -0000000014","IT"
