ID,OWNERID,ISDELETED,NAME,RECORDTYPEID,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,MAYEDIT,ISLOCKED,LASTVIEWEDDATE,LASTREFERENCEDDATE,EXTERNAL_ID_VOD__C,LANGUAGE_VOD__C,LAYOUT_NAME_VOD__C,OBJECT_NAME_VOD__C,PARENT_DEFINITION_VOD__C,TRANSLATION_VOD__C,RECORD_TYPE_VOD__C
a4t3E00000004KWQAY,00558000000wgn0AAA,FALSE,MT-0000002099,01258000000M5LtAAK,2017-03-21T15:52:01.000Z,00558000000wgn0AAA,2017-04-05T20:58:22.000Z,00558000001PGYZAA4,2017-04-05T20:58:22.000Z,TRUE,FALSE,,,EM_Attendee_vod__c-Related_ICF_HCPTS__c-en_US,en_US,Related_ICF_HCPTS__c,EM_Attendee_vod__c,,,1
a4t3E00000004NwQAI,00558000000wgn0AAA,FALSE,MT-0000002311,01258000000M5LtAAK,2017-03-21T15:52:03.000Z,00558000000wgn0AAA,2017-04-05T20:58:23.000Z,00558000001PGYZAA4,2017-04-05T20:58:23.000Z,TRUE,FALSE,,,EM_Event_Material_vod__c-Event_vod__c-en_US,en_US,Event_vod__c,EM_Event_Material_vod__c,,Event Materials,1
