"PARENTID","PERMISSIONSCREATE","PERMISSIONSDELETE","PERMISSIONSEDIT","PERMISSIONSMODIFYALLRECORDS","PERMISSIONSREAD","PERMISSIONSVIEWALLRECORDS","SOBJECTTYPE","ERROR"
"0PS3E0000000FluWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","SAP_Expense_Line_HCPTS__c","Permission Read All SAP_Expense_Line_HCPTS__c depends on permission(s): Read All Expense_Header_vod__c; Permission Read All SAP_Expense_Line_HCPTS__c depends on permission(s): Read All Expense_Line_vod__c; Permission Read All SAP_Expense_Line_HCPTS__c depends on permission(s): Read Expense_Header_vod__c; Permission Read All SAP_Expense_Line_HCPTS__c depends on permission(s): Read Expense_Line_vod__c; Permission Read SAP_Expense_Line_HCPTS__c depends on permission(s): Read Expense_Header_vod__c; Permission Read SAP_Expense_Line_HCPTS__c depends on permission(s): Read Expense_Line_vod__c"
"0PS3E0000000FluWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","Address_vod__c","Permission Read Address_vod__c depends on permission(s): Read Account; Permission Read Address_vod__c depends on permission(s): Read Contact; Permission Read All Address_vod__c depends on permission(s): Read Account; Permission Read All Address_vod__c depends on permission(s): Read All Account; Permission Read All Address_vod__c depends on permission(s): Read Contact"
"0PS3E0000000FluWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","Account","Permission Read Account depends on permission(s): Read Contact; Permission Read All Account depends on permission(s): Read Contact"
"0PS3E0000000FluWAE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","EM_Budget_vod__c","Duplicate ObjectPermissions.  Parent: 0PS3E0000000Flu, Object: 01Id0000001QoOV"
"0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Speaker_Qualification_vod__c","Duplicate ObjectPermissions.  Parent: 0PS3E0000000Flu, Object: 01Id0000001QoOk"
"0PS3E0000000FluWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","EM_Speaker_vod__c","Duplicate ObjectPermissions.  Parent: 0PS3E0000000Flu, Object: 01Id0000001QoOl"
"0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Topic_Material_vod__c","Duplicate ObjectPermissions.  Parent: 0PS3E0000000Flu, Object: 01Id0000001YZyK"
