"ID","PARENTID","PERMISSIONSCREATE","PERMISSIONSDELETE","PERMISSIONSEDIT","PERMISSIONSMODIFYALLRECORDS","PERMISSIONSREAD","PERMISSIONSVIEWALLRECORDS","SOBJECTTYPE","STATUS"
"1103E000000ISNRQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","PII_Data_HCPTS__c","Item Created"
"1103E000000ISNWQA4","0PS3E0000000FluWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Medical_Event_vod__c","Item Created"
"1103E000000ISNbQAO","0PS3E0000000FluWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","Title_BMS_EMEA__c","Item Created"
"1103E000000ISNgQAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"1103E000000ISNlQAO","0PS3E0000000FluWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","EM_Budget_vod__c","Item Created"
"1103E000000ISNqQAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","EM_Event_Budget_vod__c","Item Created"
"1103E000000ISNvQAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_Configuration_Country_vod__c","Item Created"
"1103E000000ISO0QAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_Configuration_vod__c","Item Created"
"1103E000000ISO5QAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_Layout_vod__c","Item Created"
"1103E000000ISMZQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","EM_Event_Speaker_vod__c","Item Created"
"1103E000000ISOAQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_vod__c","Item Created"
"1103E000000ISOFQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","EM_Expense_Estimate_vod__c","Item Created"
"1103E000000ISOKQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","EM_Speaker_Qualification_vod__c","Item Created"
"1103E000000ISOPQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","EM_Speaker_vod__c","Item Created"
"1103E000000ISOUQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","Expense_Header_vod__c","Item Created"
"1103E000000ISOZQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","Expense_Line_vod__c","Item Created"
"1103E000000ISOeQAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Metadata_Definition_vod__c","Item Created"
"1103E000000ISOjQAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Metadata_Translation_vod__c","Item Created"
"1103E000000ISNrQAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","EM_Event_Material_vod__c","Item Created"
"1103E000000ISOoQAO","0PS3E0000000FluWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","EM_Topic_Material_vod__c","Item Created"
"1103E000000ISOtQAO","0PS3E0000000FluWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Contact","Item Created"
"1103E000000ISOyQAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Need_Expense_Estimate_HCPTS__c","Item Created"
"1103E000000ISNXQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Catalog_vod__c","Item Created"
"1103E000000ISP3QAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_Action_vod__c","Item Created"
"1103E000000ISP8QAO","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_Rule_vod__c","Item Created"
"1103E000000ISPNQA4","0PS3E0000000FluWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Venue_vod__c","Item Created"
