ID,RECORDTYPEID,COUNTRY_OVERRIDE_VOD__C,EVENT_CONFIGURATION_VOD__C,EVENT_LAYOUT_VOD__C,EVENT_STATUS_VOD__C,EVENT_TEAM_ROLE_VOD__C,EXPENSE_ESTIMATE_LAYOUT_VOD__C,EXPENSE_HEADER_LAYOUT_VOD__C,EXPENSE_LINE_LAYOUT_VOD__C,EXTERNAL_ID__C,USER_PROFILE_VOD__C,VISIBLE_BUTTONS_VOD__C,USER_PROFILE_ID_VOD__C,EVENT_OBJECT_NAME_VOD__C,PAGE_LAYOUT_VOD__C,RECORD_TYPE_VOD__C
a4bZ0000000brsAIAQ,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_Pending_Approval,Pending_Approval_vod,Organizer_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Recall_Approval_Request_vod;,,,,
a4bZ0000000brsBIAQ,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pending_Approval_vod,Service Coordinator,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,,,,,
a4bZ0000000brsCIAQ,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pending_Approval_vod,Approver_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Approve_SFDC;Reject_SFDC;,,,,
a4bZ0000000brsNIAQ,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_Approved,Approved_vod,Organizer_vod,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Replan_BMS;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Generate_Invitations_vod;Generate_Sign_In_vod;Manage_Attendees_vod;,,,,
a4bZ0000000brsSIAQ,012Z00000005CXUIA2,,a4b3E00000001J3QAI,,,,,,,,,;Delete;,,EM_Event_Team_Member_vod,Event Team Member Layout,Event_Team_Member_vod
a4bZ0000000brsXIAQ,012Z00000005CXUIA2,,a4b3E00000001J3QAI,,,,,,,,,;Delete;,,EM_Event_Team_Member_vod,Group Layout,Group_vod
a4bZ0000000brscIAA,012Z00000005CXUIA2,,a4b3E00000001J3QAI,,Pre-Event,Support,,,,,,,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,Simplified_Event_Speaker_HCPTS
a4bZ0000000brshIAA,012Z00000005CXUIA2,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,,,,,EM_Attendee_vod,BMS_HCPTS_Attendee_Layout,Attendee_vod
a4bZ0000000brsmIAA,012Z00000005CXUIA2,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,,,,,EM_Event_Budget_vod,Event Budget Layout,Event_Budget_vod
a4bZ0000000brsrIAA,012Z00000005CXUIA2,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,,,,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,Simplified_Event_Speaker_HCPTS
a4bZ0000000brswIAA,012Z00000005CXUIA2,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,,,,,EM_Event_Material_vod,Materials Layout,Material_HCPTS
a4bZ0000000brt1IAA,012Z00000005CXUIA2,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Layout,Expense_Estimate_vod
a4bZ0000000brt6IAA,012Z00000005CXUIA2,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,,,,,Expense_Header_vod,BMS Expense Header Layout,Event_Expense_Header_vod
a4bZ0000000brtBIAQ,012Z00000005CXUIA2,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,,,,,EM_Event_Team_Member_vod,Event Team Member Layout,Event_Team_Member_vod
a4bZ0000000brtGIAQ,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pre-Event,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,,,,,
a4bZ0000000brtLIAQ,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Post-Event,Approver_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,,,,,
a4bZ0000000brtQIAQ,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Approved_vod,Approver_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,,,,,
a4bZ0000000brtRIAQ,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Closed_vod,Approver_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,,,,,
a4bZ0000000brtVIAQ,012Z00000005CXUIA2,,a4b3E00000001J3QAI,,,Approver_vod,,,,,,,,EM_Event_Team_Member_vod,Event Team Member Layout,Event_Team_Member_vod
