"ID","RECORDTYPEID","COUNTRY_OVERRIDE_VOD__C","EVENT_CONFIGURATION_VOD__C","EVENT_LAYOUT_VOD__C","EVENT_STATUS_VOD__C","EVENT_TEAM_ROLE_VOD__C","EXPENSE_ESTIMATE_LAYOUT_VOD__C","EXPENSE_HEADER_LAYOUT_VOD__C","EXPENSE_LINE_LAYOUT_VOD__C","EXTERNAL_ID__C","USER_PROFILE_VOD__C","VISIBLE_BUTTONS_VOD__C","EVENT_OBJECT_NAME_VOD__C","PAGE_LAYOUT_VOD__C","RECORD_TYPE_VOD__C","STATUS"
"a4d5E0000008dIeQAI","012d0000000XPG9AAO","a4a5E0000009Sl0QAE","a4b5E000000025T","BMS_Simple_PrePostEvent","Pre-Event","","BMS Expense Estimate Layout","BMS Simple Expense Header Layout","BMS Simple Expense Line Layout","EPL -0000000300","",";Edit;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_SFDC_Approval_BMS;","","","","Item Created"
"a4d5E0000008dIjQAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Pre-Event","Read Only","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000249","","","","","","Item Created"
"a4d5E0000008dIoQAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_PrePostEvent","Post-Event","","BMS Expense Estimate Layout","BMS Simple Expense Header Layout","BMS Simple Expense Line Layout","EPL -0000000261","",";Edit;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;","","","","Item Created"
"a4d5E0000008dItQAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_ApprovedPostEvent","Approved_vod","","","","","EPL -0000000304","",";Replan_BMS;PostEventPostApproval;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;","","","","Item Created"
"a4d5E0000008dIyQAI","01258000000QJVOAA4","","a4b5E000000025T","","Pending_Approval_vod","","","","","EPL -00000003001","","","EM_Event_Material_vod","Simple Material","","Item Created"
"a4d5E0000008dJ3QAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Post-Event","Read Only","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000258","","","","","","Item Created"
"a4d5E0000008dJ8QAI","01258000000QJVOAA4","","a4b5E000000025T","","","Read Only","","","","EPL -0000000279","","","EM_Event_Speaker_vod","BMS Services Simplified Event Speaker Layout","","Item Created"
"a4d5E0000008dJDQAY","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Pending_Approval_vod","Organizer_vod","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000309","",";Recall_Approval_Request_vod;","","","","Item Created"
"a4d5E0000008dJIQAY","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Pending_Approval_vod","","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000287","","","","","","Item Created"
"a4d5E0000008dJNQAY","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event-PostApproval","","","","","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","","Item Created"
"a4d5E0000008dJSQAY","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event","Read Only","","","","EPL -00000129881","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d5E0000008dJXQAY","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event","Read Only","","","","EPL -00000129993","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d5E0000008dJcQAI","01258000000QJVOAA4","","a4b5E000000025T","","Approved_vod","","","","","EPL -0000001362","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d5E0000008dJhQAI","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event-PostApproval","Read Only","","","","EPL -03322362","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d5E0000008dJmQAI","01258000000QJVOAA4","","a4b5E000000025T","","","","","","","8EPL -00000002779","",";Delete;","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d5E0000008dJrQAI","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event-PostApproval","","","","","EPL -00013212362","",";Edit;Delete;","Expense_Header_vod","BMS Event Speaker Expense Header Layout","","Item Created"
"a4d5E0000008dJwQAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Post-Event-PostApproval","Read Only","BMS Expense Estimate Read Only","","","EPL -0000011304","","","","","","Item Created"
"a4d5E0000008dK1QAI","01258000000QJVOAA4","","a4b5E000000025T","","Pending_Approval_vod","","","","","EPL -000000099921","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d5E0000008dK6QAI","01258000000QJVOAA4","","a4b5E000000025T","","","Read Only","","","","EPL -00000009993","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d5E0000008dK2QAI","01258000000QJVOAA4","","a4b5E000000025T","","Pre-Event","Read Only","","","","EPL -00009989883","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d5E0000008dKBQAY","01258000000QJVOAA4","","a4b5E000000025T","","Approved_vod","","","","","EPL -0000000362","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d5E0000008dIQQAY","01258000000QJVOAA4","","a4b5E000000025T","","Approved_vod","Read Only","","","","EPL -0000022362","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d5E0000008dKGQAY","01258000000QJVOAA4","","a4b5E000000025T","","Pending_Approval_vod","","","","","EPL -00000009991","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d5E0000008dKLQAY","01258000000QJVOAA4","","a4b5E000000025T","","Pending_Approval_vod","","","","","EPL -00009909883","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d5E0000008dKQQAY","01258000000QJVOAA4","","a4b5E000000025T","","Pre-Event","Read Only","","","","EPL -000000889921","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d5E0000008dJYQAY","01258000000QJVOAA4","","a4b5E000000025T","","Approved_vod","Read Only","","","","EPL -0000012362","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d5E0000008dJJQAY","01258000000QJVOAA4","","a4b5E000000025T","","Pending_Approval_vod","","","","","EPL -0000000297","","","EM_Event_Speaker_vod","BMS Services Simplified Event Speaker Layout","","Item Created"
"a4d5E0000008dKVQAY","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Closed_vod","Service Coordinator","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000265","",";Unlock_vod;","","","","Item Created"
"a4d5E0000008dKaQAI","01258000000QJVOAA4","","a4b5E000000025T","","Approved_vod","","","","","","",";Edit;Delete;","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS","Item Created"
"a4d5E0000008dKfQAI","01258000000QJVOAA4","","a4b5E000000025T","","Closed_vod","","","","","EPL -0000000273","","","EM_Event_Material_vod","Simple Material","","Item Created"
"a4d5E0000008dKkQAI","01258000000QJVOAA4","","a4b5E000000025T","","Closed_vod","","","","","EPL -0000000270","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d5E0000008dKpQAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_PrePostEvent","Pre-Event","","BMS Expense Estimate Layout","BMS Simple Expense Header Layout","BMS Simple Expense Line Layout","EPL -0000000255","",";Edit;PostEvent;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;","","","","Item Created"
"a4d5E0000008dJdQAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Closed_vod","","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000264","","","","","","Item Created"
"a4d5E0000008dKuQAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_ApprovedPostEvent","Post-Event-PostApproval","","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -00000003044","",";Replan_BMS;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;","","","","Item Created"
"a4d5E0000008dJeQAI","01258000000QJVOAA4","","a4b5E000000025T","","Closed_vod","","","","","EPL -0000000271","","","EM_Event_Speaker_vod","BMS Services Simplified Event Speaker Layout","","Item Created"
"a4d5E0000008dKzQAI","01258000000QJVOAA4","","a4b5E000000025T","","Closed_vod","","","","","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","","Item Created"
"a4d5E0000008dL4QAI","01258000000QJVOAA4","","a4b5E000000025T","","Pending_Approval_vod","","","","","EPL -0000000299","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d5E0000008dJOQAY","01258000000QJVOAA4","","a4b5E000000025T","","","Read Only","","","","EPL -0000000269","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","","Item Created"
"a4d5E0000008dJ4QAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Closed_vod","","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000266","System Administrator",";Unlock_vod;","","","","Item Created"
"a4d5E0000008dL9QAI","01258000000QJVOAA4","","a4b5E000000025T","","Pending_Approval_vod","","","","","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","","Item Created"
"a4d5E0000008dJnQAI","01258000000QJVOAA4","","a4b5E000000025T","","","Read Only","","","","EPL -0000000281","","","EM_Event_Material_vod","Simple Material","","Item Created"
"a4d5E0000008dLEQAY","01258000000QJVOAA4","","a4b5E000000025T","","Closed_vod","","","","","EPL -0000000272","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d5E0000008dLJQAY","01258000000QJVOAA4","","a4b5E000000025T","","","","","","","EPL -0000000999","",";Delete;","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d5E0000008dHZQAY","01258000000QJVOAA4","","a4b5E000000025T","","Pending_Approval_vod","","","","","EPL -0000000296","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d5E0000008dLOQAY","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Pending_Approval_vod","Service Coordinator","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000310","",";Recall_Approval_Request_vod;","","","","Item Created"
"a4d5E0000008dLTQAY","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Pending_Approval_vod","Approver_vod","BMS Expense Estimate Read Only","BMS Simple Expense Header ReadOnly Layout","BMS Simple Expense Line Readonly Layout","EPL -0000000312","",";Approve_vod;Reject_vod;","","","","Item Created"
